"fromNode"	"toNode"	"weight"	"direction"	"fromAltName"	"toAltName"
"228"	"SBF1.8"	"SBF1.17"	0.0965588151044325	NA	"SBF1"	"SBF1"
"229"	"SBF1.8"	"SBF1.18"	0.118280167452803	NA	"SBF1"	"SBF1"
"230"	"SBF1.8"	"SBF1.19"	0.081796730276709	NA	"SBF1"	"SBF1"
"231"	"SBF1.8"	"SBF1.20"	0.107881128473345	NA	"SBF1"	"SBF1"
"232"	"SBF1.8"	"SBF1.21"	0.145419594826434	NA	"SBF1"	"SBF1"
"233"	"SBF1.8"	"SBF1.22"	0.11727245662244	NA	"SBF1"	"SBF1"
"234"	"SBF1.8"	"SBF1.23"	0.11314344353336	NA	"SBF1"	"SBF1"
"235"	"SBF1.8"	"SBF1.24"	0.0852132784804099	NA	"SBF1"	"SBF1"
"236"	"SBF1.8"	"SBF1.25"	0.07772201757423	NA	"SBF1"	"SBF1"
"237"	"SBF1.8"	"SBF1.26"	0.107219075967527	NA	"SBF1"	"SBF1"
"238"	"SBF1.8"	"SBF1.27"	0.132971187892821	NA	"SBF1"	"SBF1"
"239"	"SBF1.8"	"SBF1.28"	0.109101737712403	NA	"SBF1"	"SBF1"
"240"	"SBF1.8"	"SBF1.29"	0.0898084217261714	NA	"SBF1"	"SBF1"
"241"	"SBF1.8"	"SBF1.30"	0.131261226645413	NA	"SBF1"	"SBF1"
"242"	"SBF1.8"	"SBF1.31"	0.0878490763379663	NA	"SBF1"	"SBF1"
"243"	"SBF1.9"	"SBF1.10"	0.0337832262427722	NA	"SBF1"	"SBF1"
"244"	"SBF1.9"	"SBF1.11"	0.0814699972201765	NA	"SBF1"	"SBF1"
"245"	"SBF1.9"	"SBF1.12"	0.0704587615665924	NA	"SBF1"	"SBF1"
"246"	"SBF1.9"	"SBF1.13"	0.0885710553432378	NA	"SBF1"	"SBF1"
"247"	"SBF1.9"	"SBF1.14"	0.0908775470451002	NA	"SBF1"	"SBF1"
"248"	"SBF1.9"	"SBF1.15"	0.0646755369286648	NA	"SBF1"	"SBF1"
"249"	"SBF1.9"	"SBF1.16"	0.0571116812211336	NA	"SBF1"	"SBF1"
"250"	"SBF1.9"	"SBF1.17"	0.0607793846944299	NA	"SBF1"	"SBF1"
"251"	"SBF1.9"	"SBF1.18"	0.0718569857148627	NA	"SBF1"	"SBF1"
"252"	"SBF1.9"	"SBF1.19"	0.0682128191003602	NA	"SBF1"	"SBF1"
"253"	"SBF1.9"	"SBF1.20"	0.0810259735385661	NA	"SBF1"	"SBF1"
"254"	"SBF1.9"	"SBF1.21"	0.0990459648782726	NA	"SBF1"	"SBF1"
"255"	"SBF1.9"	"SBF1.22"	0.0818968155784433	NA	"SBF1"	"SBF1"
"256"	"SBF1.9"	"SBF1.23"	0.0704355631867694	NA	"SBF1"	"SBF1"
"257"	"SBF1.9"	"SBF1.24"	0.0590500272450791	NA	"SBF1"	"SBF1"
"258"	"SBF1.9"	"SBF1.25"	0.0568191798893825	NA	"SBF1"	"SBF1"
"259"	"SBF1.9"	"SBF1.26"	0.0823866651433273	NA	"SBF1"	"SBF1"
"260"	"SBF1.9"	"SBF1.27"	0.0890315171070765	NA	"SBF1"	"SBF1"
"261"	"SBF1.9"	"SBF1.28"	0.0707493985214538	NA	"SBF1"	"SBF1"
"262"	"SBF1.9"	"SBF1.29"	0.0617936673476136	NA	"SBF1"	"SBF1"
"263"	"SBF1.9"	"SBF1.30"	0.0873401490590818	NA	"SBF1"	"SBF1"
"264"	"SBF1.9"	"SBF1.31"	0.0553766905273382	NA	"SBF1"	"SBF1"
"265"	"SBF1.10"	"SBF1.11"	0.0532289713236723	NA	"SBF1"	"SBF1"
"266"	"SBF1.10"	"SBF1.12"	0.0543239485840443	NA	"SBF1"	"SBF1"
"267"	"SBF1.10"	"SBF1.13"	0.0685091515896725	NA	"SBF1"	"SBF1"
"268"	"SBF1.10"	"SBF1.14"	0.0716088174340358	NA	"SBF1"	"SBF1"
"269"	"SBF1.10"	"SBF1.15"	0.0418276275770051	NA	"SBF1"	"SBF1"
"270"	"SBF1.10"	"SBF1.16"	0.0548306480104818	NA	"SBF1"	"SBF1"
"271"	"SBF1.10"	"SBF1.17"	0.0580821138802112	NA	"SBF1"	"SBF1"
"272"	"SBF1.10"	"SBF1.18"	0.0420232685188387	NA	"SBF1"	"SBF1"
"273"	"SBF1.10"	"SBF1.19"	0.0571522338255011	NA	"SBF1"	"SBF1"
"274"	"SBF1.10"	"SBF1.20"	0.0641314182550006	NA	"SBF1"	"SBF1"
"275"	"SBF1.10"	"SBF1.21"	0.0559488457263462	NA	"SBF1"	"SBF1"
"276"	"SBF1.10"	"SBF1.22"	0.0439458659631267	NA	"SBF1"	"SBF1"
"277"	"SBF1.10"	"SBF1.23"	0.041103087886996	NA	"SBF1"	"SBF1"
"278"	"SBF1.10"	"SBF1.24"	0.040371745559001	NA	"SBF1"	"SBF1"
"279"	"SBF1.10"	"SBF1.25"	0.0262607116833971	NA	"SBF1"	"SBF1"
"280"	"SBF1.10"	"SBF1.26"	0.0538111738918508	NA	"SBF1"	"SBF1"
"281"	"SBF1.10"	"SBF1.27"	0.0512334533681299	NA	"SBF1"	"SBF1"
"282"	"SBF1.10"	"SBF1.28"	0.055043121883006	NA	"SBF1"	"SBF1"
"283"	"SBF1.10"	"SBF1.29"	0.0324525185666125	NA	"SBF1"	"SBF1"
"284"	"SBF1.10"	"SBF1.30"	0.0506722496412683	NA	"SBF1"	"SBF1"
"285"	"SBF1.10"	"SBF1.31"	0.0304614251225223	NA	"SBF1"	"SBF1"
"286"	"SBF1.11"	"SBF1.12"	0.122648275787303	NA	"SBF1"	"SBF1"
"287"	"SBF1.11"	"SBF1.13"	0.157143961931358	NA	"SBF1"	"SBF1"
"288"	"SBF1.11"	"SBF1.14"	0.141610872785474	NA	"SBF1"	"SBF1"
